 	【百草味】秋葵脆50g	6948939645067	5.22	果干蜜饯枣	蔬果干	秋葵脆
584373994559	【百草味】猕猴桃干108g	6948939674869	3.38	果干蜜饯枣	果干蜜饯	猕猴桃干
560373616951	【百草味】奥尔良风味烤肠（玉米味）168g	6948939651136	6.6	肉类卤味	猪肉	奥尔良风味烤肠
17401526886	【百草味】蟹香蚕豆 100g	6948939651617	1.75	坚果炒货	炒货	蚕豆
581257058310	【百草味】鱼豆腐（烧烤味）185g	6948939649256	5.2	豆干蔬菜	豆干制品	鱼豆腐
563313492128	【百草味】桂圆干260g	6948939659231	3.99	果干蜜饯枣	果干蜜饯	桂圆干
597643445114		6948939684899				
562072982758	【百草味】香菇豆卷（香辣味）210g	6948939652287	5.8	豆干蔬菜	豆干制品	香菇豆卷
558100724511	【百草味】什锦蔬菜脆30g	6948939648259	2.2	果干蜜饯枣	蔬果干	什锦蔬菜脆
558757196966	【百草味】芒果干60g	6948939651822	3.87	果干蜜饯枣	果干蜜饯	芒果干
544869252823	【百草味】兰花豆(盐焗味)210g	6948939612359	2.99	坚果炒货	炒货	兰花豆
596450785789		6948939686572				
599911602076	【百草味】笑口板栗120g	6948939610126	4	坚果炒货	坚果	笑口板栗
571367404578	【百草味】原切牛肉粒（五香味）50g	6948939664303	5.5	肉类卤味	牛肉	原切牛肉片
610483851111	【百草味】甜脆灰枣175g	6948939664631	6.5	果干蜜饯枣	枣类制品	甜脆灰枣
601076385974		6948939690371				
13060317764		6948939687104				
598023172825		6948939686534				
599533308828		6948939690531				
574435366429	【百草味】小鱼仔105g（香辣味）	6948939667120	5.7	海味零食	鱼系列	小鱼仔
597344902841		6948939686176				
39038493945	【百草味】草莓干100g	6948939602374	5.8	果干蜜饯枣	果干蜜饯	草莓干
40372254105		6948939684677				
586890423436		6948939686237				
558538861619	【百草味】爆浆·果汁软糖（葡萄味）45g	6948939647726	3.16	糖果果冻	糖果	爆浆果汁软糖
559374074706	【百草味】猪肉粒（五香味）100g	6948939651112	7.27	肉类卤味	猪肉	猪肉粒
608358226842		8991102281430				
15958207757	【百草味】黄桃干100g	6948939602381	4.08	果干蜜饯枣	果干蜜饯	黄桃干
15015689267	【百草味】红杏干100g	6948939602398	4.2	果干蜜饯枣	果干蜜饯	红杏干
544403985222	【百草味】巴旦木（奶油味）100g	6948939651587	4.97	坚果炒货	坚果	巴旦木
575725108584	【百草味】鸭脖(甜辣味)170g	6948939612540	7.72	肉类卤味	鸭肉	鸭脖
557314700687	【百草味】什锦蔬菜脆（7样装）60g	6948939657442	4.2	果干蜜饯枣	蔬果干	什锦蔬菜脆
579065184540	【百草味】蔬果干大礼包658g	6948939680761	40.05	果干蜜饯枣	蔬果干	蔬果干大礼包
15015081718	【百草味】草莓干100g	6948939602374	5.8	果干蜜饯枣	果干蜜饯	草莓干
42562478989	【百草味】红杏干100g	6948939602398	4.2	果干蜜饯枣	果干蜜饯	红杏干
560473114198	【百草味】奥尔良风味烤肠（玉米味）168g	6948939651136	6.6	肉类卤味	猪肉	奥尔良风味烤肠
19540946332	【百草味】笑口板栗120g(红版)	6948939679437	4.28	坚果炒货	坚果	笑口板栗
585093601721	【百草味】鸭脖(甜辣味)170g	6948939612540	7.72	肉类卤味	鸭肉	鸭脖
20600624998	【百草味】芒果干120g	6948939601193	6.9	果干蜜饯枣	果干蜜饯	芒果干
601760212955	【百草味】夜伴小卤礼包-卤味派对 580g	6948939653307	25.16	肉类卤味	礼包组合	卤味派对礼包
593499952914		6948939684523				
599547520671		6948939686572				
596453651158	【百草味】核桃芝麻黑豆粉600g	6948939683250	22.08	茶饮冲饮	冲饮	核桃芝麻黑豆粉
560347172840	【百草味】兰花豆（盐焗味） 100g	6948939651600	2.15	坚果炒货	炒货	兰花豆
564169005734	【百草味】泰式猪肉条（原味）50g	6948939663474	6.14	肉类卤味	猪肉	泰式猪肉条
594018162426		6948939690371				
565047373446	【百草味】桂圆干260g	6948939659231	3.99	果干蜜饯枣	果干蜜饯	桂圆干
610017689999		6948939694003				
560573911729	【百草味】吮指麻辣豆皮65g	6948939652270	1.91	豆干蔬菜	豆干制品	吮指豆皮
598566767290	【百草味】什锦蔬菜脆30g	6948939648259	2.2	果干蜜饯枣	蔬果干	什锦蔬菜脆
561907448485	【百草味】香菇豆卷（香辣味）210g	6948939652287	5.8	豆干蔬菜	豆干制品	香菇豆卷
558589022087	【百草味】爆浆·果汁软糖（葡萄味）45g	6948939647726	3.16	糖果果冻	糖果	爆浆果汁软糖
596917594512	【百草味】紫薯花生180g(红版)	6948939612984	2.85	坚果炒货	炒货	紫薯花生
585223354726	【百草味】山楂糕208g	6948939680518	5.06	果干蜜饯枣	山楂类制品	山楂糕
558912793726	【百草味】抱抱果骏枣夹核桃800g	6948939677693	45.45	果干蜜饯枣	枣类制品	抱抱果
44879980472	【百草味】手撕鱿鱼条80g	6948939612427	6.75	海味零食	鱿鱼系列	手撕鱿鱼条
524494916163	【百草味】脆冬枣175g	6948939650955	13.5	果干蜜饯枣	枣类制品	脆冬枣
559833218502	【百草味】夏威夷果(奶油味)200g	6948939610430	13.02	坚果炒货	坚果	夏威夷果
605739568564	【百草味】草莓干100g	6948939602374	5.8	果干蜜饯枣	果干蜜饯	草莓干
574197981956	【百草味】甜脆灰枣175g	6948939664631	6.5	果干蜜饯枣	枣类制品	甜脆灰枣
606186541398		6948939692795				
605272133270		6948939691002				
596738253382	【百草味】吮指麻辣豆皮65g	6948939652270	1.91	豆干蔬菜	豆干制品	吮指豆皮
586411952219		6948939686572				
35534067670	【百草味】碧根果218g	6948939611444	14.76	坚果炒货	坚果	碧根果
17626791755	【百草味】草莓干100g	6948939602374	5.8	果干蜜饯枣	果干蜜饯	草莓干
603924370113		6948939694065				
563416573524	【百草味】红糖麻花120g	6948939658746	2.64	糕点点心	传统糕点	红糖麻花
